Reading config file...
2022/03/21 15:35:11 Now running. Press CTRL-C to exit.
guild ID: 830676304487120956
guild ID: 296167427652321302
684588286496342059 YellowHopeless 2022-03-21
606980165871992879 DColon 2022-03-21
775214366504648714 akagiLul 2022-03-21
765376212784250940 brownAwau 2022-03-21
688570177763541006 bakaWAH 2022-03-21
821500181807366164 whyBullyNerd 2022-03-21
717409819937603665 sadge 2022-03-21
775214366504648714 akagiLul 2022-03-21
606980165871992879 DColon 2022-03-21
775214366504648714 akagiLul 2022-03-21
609446090340565003 AYAYA 2022-03-21
633882235946401802 EMTheart 2022-03-21
703119073466122290 yeehawturtle 2022-03-21
578428711318323210 umu 2022-03-21
633882235946401802 EMTheart 2022-03-21
703119073466122290 yeehawturtle 2022-03-21
578428711318323210 umu 2022-03-21
752089158230736926 RamShrug 2022-03-21
633882235946401802 EMTheart 2022-03-21
703119073466122290 yeehawturtle 2022-03-21
578428711318323210 umu 2022-03-21
633882235946401802 EMTheart 2022-03-21
703119073466122290 yeehawturtle 2022-03-21
578428711318323210 umu 2022-03-21
633882235946401802 EMTheart 2022-03-21
703119073466122290 yeehawturtle 2022-03-21
578428711318323210 umu 2022-03-21
633882235946401802 EMTheart 2022-03-21
703119073466122290 yeehawturtle 2022-03-21
578428711318323210 umu 2022-03-21
633882235946401802 EMTheart 2022-03-21
703119073466122290 yeehawturtle 2022-03-21
578428711318323210 umu 2022-03-21
799540952259362827 DansChamp 2022-03-21
684587611393622033 rankoSmug 2022-03-21
633882235946401802 EMTheart 2022-03-21
703119073466122290 yeehawturtle 2022-03-21
578428711318323210 umu 2022-03-21
633882235946401802 EMTheart 2022-03-21
703119073466122290 yeehawturtle 2022-03-21
578428711318323210 umu 2022-03-21
838594146804695101 shut 2022-03-21
633882235946401802 EMTheart 2022-03-21
703119073466122290 yeehawturtle 2022-03-21
578428711318323210 umu 2022-03-21
633882235946401802 EMTheart 2022-03-21
703119073466122290 yeehawturtle 2022-03-21
578428711318323210 umu 2022-03-21
633882235946401802 EMTheart 2022-03-21
703119073466122290 yeehawturtle 2022-03-21
578428711318323210 umu 2022-03-21
633882235946401802 EMTheart 2022-03-21
703119073466122290 yeehawturtle 2022-03-21
578428711318323210 umu 2022-03-21
633882235946401802 EMTheart 2022-03-21
703119073466122290 yeehawturtle 2022-03-21
578428711318323210 umu 2022-03-21
821500181807366164 whyBullyNerd 2022-03-21
606980165871992879 DColon 2022-03-21
786987131612037181 umuPensive 2022-03-21
633882235946401802 EMTheart 2022-03-21
703119073466122290 yeehawturtle 2022-03-21
578428711318323210 umu 2022-03-21
717409819937603665 sadge 2022-03-21
633882235946401802 EMTheart 2022-03-21
703119073466122290 yeehawturtle 2022-03-21
578428711318323210 umu 2022-03-21
717409819937603665 sadge 2022-03-21
717409819937603665 sadge 2022-03-21
615874451745013770 PepeHands 2022-03-21
615874451745013770 PepeHands 2022-03-21
